Date,Open,High,Low,Close
1/3/10 15:00,0.89747,0.89973,0.89382,0.89514
1/3/10 19:00,0.89514,0.89849,0.89489,0.89779
1/3/10 23:00,0.89779,0.90549,0.89674,0.90544
1/4/10 3:00,0.90544,0.90854,0.90414,0.90808
1/4/10 7:00,0.90808,0.91369,0.90764,0.91212
1/4/10 11:00,0.91212,0.91359,0.91119,0.91261
1/4/10 15:00,0.91261,0.91629,0.91164,0.91309
1/4/10 19:00,0.91309,0.91554,0.91149,0.91434
1/4/10 23:00,0.91434,0.91576,0.90984,0.91526
1/5/10 3:00,0.91526,0.9174,0.91309,0.91334
1/5/10 7:00,0.91334,0.91539,0.91122,0.91249
1/5/10 11:00,0.91249,0.91259,0.90919,0.91222
1/5/10 15:00,0.91222,0.91382,0.91027,0.91354
1/5/10 19:00,0.91354,0.91429,0.91252,0.91419
1/5/10 23:00,0.91419,0.91509,0.90977,0.91439
1/6/10 3:00,0.91439,0.91669,0.91279,0.91569
1/6/10 7:00,0.91569,0.92009,0.91504,0.91854
1/6/10 11:00,0.91854,0.92169,0.91699,0.92002
1/6/10 15:00,0.92002,0.92664,0.9183,0.92384
1/6/10 19:00,0.92384,0.92392,0.91984,0.92084
1/6/10 23:00,0.92084,0.92184,0.91822,0.91864
1/7/10 3:00,0.91864,0.91914,0.9159,0.91914
1/7/10 7:00,0.91914,0.91989,0.91614,0.91809
1/7/10 11:00,0.91809,0.91874,0.91631,0.91757
1/7/10 15:00,0.91757,0.91839,0.91627,0.91654
1/7/10 19:00,0.91654,0.91729,0.91229,0.91289
1/7/10 23:00,0.91289,0.9169,0.91267,0.91629
1/8/10 3:00,0.91629,0.92326,0.91331,0.92181
1/8/10 7:00,0.92181,0.92389,0.91719,0.92304
1/8/10 11:00,0.92304,0.92539,0.92304,0.92374
1/10/10 15:00,0.92374,0.93133,0.92374,0.93064
1/10/10 19:00,0.93064,0.93179,0.92964,0.93115
1/10/10 23:00,0.93115,0.93189,0.92899,0.93154
1/11/10 3:00,0.93154,0.9325,0.93051,0.93209
1/11/10 7:00,0.93209,0.93209,0.92839,0.92859
1/11/10 11:00,0.92859,0.93199,0.92849,0.92947
1/11/10 15:00,0.92947,0.93034,0.92619,0.92679
1/11/10 19:00,0.92679,0.92899,0.92354,0.92889
1/11/10 23:00,0.92889,0.93059,0.92454,0.92744
1/12/10 3:00,0.92744,0.92767,0.92057,0.92232
1/12/10 7:00,0.92232,0.92657,0.91959,0.92014
1/12/10 11:00,0.92014,0.92141,0.91704,0.9191
1/12/10 15:00,0.9191,0.92304,0.91889,0.92244
1/12/10 19:00,0.92244,0.92392,0.92161,0.92269
1/12/10 23:00,0.92269,0.92665,0.92189,0.9253
1/13/10 3:00,0.9253,0.92674,0.92281,0.92649
1/13/10 7:00,0.92649,0.92654,0.91984,0.92294
